bldg_id,in.city,in.county_name,area,building_type,in.heating_setpoint,in.hvac_cooling_efficiency,cooling_type,heating_efficiency,heating_type,income,insulation_level,in.vintage,vintage,climate_zone,has_solar,in.weather_file_latitude,in.weather_file_longitude,out.bills.all_fuels.usd,out.bills.electricity.usd,out.bills.natural_gas.usd,out.electricity.cooling.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.summer.peak.kw,out.electricity.total.energy_consumption.kwh,out.electricity.winter.peak.kw,out.energy_burden.percentage,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,weight,in.state,in.zip_code,in.utility_name,in.gas_utility_name,elec_weight,gas_weight
37,In another census Place,Anoka,0-1499,SF,70F,"AC, SEER 13",High Eff AC,High Htg Eff,Natural Gas,High Income,Average Insulation,2010s,>2000,Cold,No,45.07,-93.35,1743.6487064300907,1095.3587064300907,648.29,1120.4107012684055,0.0,6.3836,8104.001232402289,6.228800000000001,1.57,14411.769875719026,20126.948815147534,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
53,In another census Place,Anoka,1500-2499,SF,72F,"AC, SEER 15",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,2000s,>2000,Cold,No,45.07,-93.35,2240.2930554845125,1040.1330554845122,1200.16,944.5680591650722,0.0,7.6831000000000005,7691.650236669972,8.279399999999999,1.18,41767.023565594245,41767.023565594245,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
141,In another census Place,Hennepin,0-1499,SF,68F,"AC, SEER 10",Low Eff AC,High Htg Eff,Natural Gas,Moderate Income,Average Insulation,1970s,1960-2000,Cold,No,45.07,-93.35,1475.8220572583627,795.0520572583627,680.77,662.9267607295667,0.0,6.4866,5861.714474514617,6.3521,2.68,16672.227039957375,21400.928757186182,252.30163873025225,MN,55429,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
215,Not in a census Place,Polk,1500-2499,SF,70F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,Low Income,Poor Insulation,1990s,1960-2000,Cold,No,44.93,-93.05,3249.5073640210944,1709.0273640210944,1540.48,1389.4499436865055,0.0,7.478,11798.162071923149,8.1175,17.5,46252.47629458011,54151.62084893201,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Centerpoint Energy|Mn Energy Res Corp|Northern States Pwr Co,252.30163873025225,84.10054624341741
234,In another census Place,Ramsey,2500-3999,SF,72F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,1960s,1960-2000,Cold,No,44.93,-93.05,3437.1463237090793,1133.1963237090795,2303.95,1117.186919496511,0.0,6.4686,8386.52174404831,6.660100000000001,3.16,80498.12391527445,85048.63842183854,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy|Mn Energy Res Corp,252.30163873025225,84.10054624341741
253,"MN, Edina",Hennepin,2500-3999,SF,72F,"AC, SEER 13",High Eff AC,High Htg Eff,Natural Gas,High Income,Poor Insulation,1960s,1960-2000,Cold,No,44.8951875,-93.36019487527716,2726.039346760992,1134.6093467609921,1591.43,1042.4537966025944,0.0,4.4768,8397.072302574512,5.7421999999999995,1.01,55628.40597152985,57109.58716018026,252.30163873025225,MN,55436,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
466,"MN, Minneapolis",Hennepin,1500-2499,SF,68F,"Room AC, EER 10.7",Room AC,Low Htg Eff,Natural Gas,High Income,Average Insulation,<1940,<1960,Cold,No,44.9707515,-93.26819344292213,2790.2460748425992,888.0760748425993,1902.17,284.27893806705555,0.0,8.169,6556.292910822783,8.424700000000001,1.65,60427.44474559998,69294.01690259039,252.30163873025225,MN,55404,Northern States Power Co - Minnesota,Northern States Pwr Co|Centerpoint Energy,252.30163873025225,126.15081936512613
479,"MN, Minneapolis",Hennepin,1500-2499,SF,70F,"Room AC, EER 12.0",Room AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,<1940,<1960,Cold,No,44.9707515,-93.26819344292213,2450.134663922675,816.9146639226747,1633.22,417.33320392524445,0.0,6.489199999999999,6024.955060600544,6.3398,1.64,54729.55699931164,58748.14751351315,252.30163873025225,MN,55404,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
586,In another census Place,Washington,2500-3999,SF,68F,"AC, SEER 15",High Eff AC,Medium Htg Eff,Natural Gas,Moderate Income,Average Insulation,1990s,1960-2000,Cold,No,44.93,-93.05,2253.5079767978914,958.6879767978913,1294.82,857.8190223940944,0.0,4.8163,7083.527766062612,4.69,3.01,42442.259311271046,45478.76866932544,252.30163873025225,MN,55107,Northern States Power Co - Minnesota,Mn Energy Res Corp|Centerpoint Energy|Northern States Pwr Co,252.30163873025225,84.10054624341741
605,In another census Place,Carver,1500-2499,SF,68F,"AC, SEER 13",High Eff AC,Medium Htg Eff,Natural Gas,High Income,Poor Insulation,1970s,1960-2000,Cold,No,44.82,-93.45,2926.718666285094,1552.6286662850941,1374.09,2614.487017006394,0.0,11.6905,11518.279199908678,11.3905,2.26,37022.49601057614,48587.08043957203,252.30163873025225,MN,55347,Northern States Power Co - Minnesota,Centerpoint Energy|Northern States Pwr Co,252.30163873025225,126.15081936512613
