rateName,cost
California Climate Credit,-116.46
Conservation Incentive Adjustment - Summer - Territory S,243.14636246999999
Conservation Incentive Adjustment - Winter - Territory S,401.13739058999994
Distribution Charge - Summer Off-Peak,506.0933362800001
Distribution Charge - Summer Peak,214.29193433999998
Distribution Charge - Winter Off-Peak,736.21478523
Distribution Charge - Winter Peak,242.13837592999997
Energy Cost Recovery Amount,0.09785682
Energy Surcharge,2.9357045999999993
Generation Charge - Summer Off-Peak,299.79081720000005
Generation Charge - Summer Peak,207.54474059999998
Generation Charge - Winter Off-Peak,546.7158311
Generation Charge - Winter Peak,210.96568133999997
New System Generation,56.169814679999995
Nuclear Decommissioning,-2.34856368
Ongoing CTC,-7.0456910399999995
Public Purpose Programs,258.73343208
Recovery Bond Charge,63.31336253999999
Recovery Bond Credit,-63.31336253999999
Reliability Services,3.13141824
Transmission,501.22263203999995
Transmission Rate Adjustments,-118.70032265999998
Wildfire Fund Charge,58.224807899999995
Wildfire Hardening,46.38413268
