tariff,rateName,EffDate,Rate,Rate Determinant,Start,End,Season,tou,period
Residential - Electric Heat,AGCE Adjustment,2025-01-01,0.00002,per kwh,"","","","",""
Residential - Electric Heat,Advanced Metering Infrastructure(AMI),2025-01-01,0.00294,per kwh,"","","","",""
Residential - Electric Heat,Basic Service Cost True Up Factor,2025-01-01,0.00307,per kwh,"","","","",""
Residential - Electric Heat,Customer Charge,2025-01-01,10.0,per month,"","","","",""
Residential - Electric Heat,Distributed Solar (SMART),2025-01-01,0.00550313,per kwh,"","","","",""
Residential - Electric Heat,Distribution Energy Charge - Summer,2025-01-01,0.05595,per kwh,"","",06/01-09/30,"",""
Residential - Electric Heat,Distribution Energy Charge - Winter,2025-01-01,0.05595,per kwh,"","",10/01-05/31,"",""
Residential - Electric Heat,Energy  Efficiency Reconciliation Factor,2025-01-01,0.0265822,per kwh,"","","","",""
Residential - Electric Heat,Generation Charge Basic Svc Fixed,2025-01-01,0.14322717,per kwh,"","","","",""
Residential - Electric Heat,Grid Modernization Factor,2025-01-01,0.00221,per kwh,"","","","",""
Residential - Electric Heat,LTRCA Adjustment,2025-01-01,0.00052,per kwh,"","","","",""
Residential - Electric Heat,Net Metering Recovery Surcharge,2025-01-01,0.01622,per kwh,"","","","",""
Residential - Electric Heat,Pension Adjustment,2025-01-01,0.00275,per kwh,"","","","",""
Residential - Electric Heat,Renewable Energy Charge,2025-01-01,0.0005,per kwh,"","","","",""
Residential - Electric Heat,Residential Assistance Adjustment Factor,2025-01-01,0.01047,per kwh,"","","","",""
Residential - Electric Heat,Revenue Decoupling,2025-01-01,-0.00085,per kwh,"","","","",""
Residential - Electric Heat,SCRA Adjustment,2025-01-01,0.0085,per kwh,"","","","",""
Residential - Electric Heat,Solar Expansion Cost Recovery Factor (SECRF),2025-01-01,-0.00031,per kwh,"","","","",""
Residential - Electric Heat,Solar Program Cost Adjustment Factor (SPCA),2025-01-01,0.00017,per kwh,"","","","",""
Residential - Electric Heat,Tax Act Credit Factor (TACF),2025-01-01,-0.00083,per kwh,"","","","",""
Residential - Electric Heat,Transition Energy Charge,2025-01-01,-0.0009500000000000001,per kwh,"","","","",""
Residential - Electric Heat,Transmission Charge,2025-01-01,0.04545,per kwh,"","","","",""
Residential - Electric Heat,Vegetation Management (RTWF),2025-01-01,0.00184,per kwh,"","","","",""
