tariff,rateName,EffDate,Rate,Rate Determinant,Start,End,Season,tou,period
Residential,AGCE Adjustment,2025-01-01,0.00002,per kwh,"","","","",""
Residential,Advanced Metering Infrastructure(AMI),2025-01-01,0.0029400000000000003,per kwh,"","","","",""
Residential,Basic Service Cost True Up Factor,2025-01-01,0.00307,per kwh,"","","","",""
Residential,Customer Charge,2025-01-01,10.0,per month,"","","","",""
Residential,Distributed Solar (SMART),2025-01-01,0.00579447,per kwh,"","","","",""
Residential,Distribution Energy Charge,2025-01-01,0.06264,per kwh,"","","","",""
Residential,Energy  Efficiency Reconciliation Factor,2025-01-01,0.02552221,per kwh,"","","","",""
Residential,Exogenous Cost Adjustment,2025-01-01,-0.00004,per kwh,"","","","",""
Residential,Generation Charge Basic Svc Fixed,2025-01-01,0.14154245,per kwh,"","","","",""
Residential,Grid Modernization Factor,2025-01-01,0.00221,per kwh,"","","","",""
Residential,LTRCA Adjustment,2025-01-01,0.00052,per kwh,"","","","",""
Residential,Net Metering Recovery Surcharge,2025-01-01,0.01622,per kwh,"","","","",""
Residential,Pension Adjustment,2025-01-01,0.00275,per kwh,"","","","",""
Residential,Renewable Energy Charge,2025-01-01,0.0005,per kwh,"","","","",""
Residential,Residential Assistance Adjustment Factor,2025-01-01,0.01047,per kwh,"","","","",""
Residential,Revenue Decoupling Adjustment Mechanism,2025-01-01,-0.00085,per kwh,"","","","",""
Residential,SCRA Adjustment,2025-01-01,0.0085,per kwh,"","","","",""
Residential,Solar Expansion Cost Recovery Factor (SECRF),2025-01-01,-0.00031,per kwh,"","","","",""
Residential,Solar Program Cost Adjustment Factor (SPCA),2025-01-01,0.00017,per kwh,"","","","",""
Residential,System Benefits Charge,2025-01-01,0.0025,per kwh,"","","","",""
Residential,Tax Act Credit Factor (TACF),2025-01-01,-0.00083,per kwh,"","","","",""
Residential,Transition Energy Charge,2025-01-01,-0.00095,per kwh,"","","","",""
Residential,Transmission Charge,2025-01-01,0.04545,per kwh,"","","","",""
Residential,Vegetation Management (RTWF),2025-01-01,0.00184,per kwh,"","","","",""
