tariff,rateName,EffDate,Rate,Rate Determinant,Start,End,Season,tou,period
Residential Electric Vehicle,Affordability Surcharge,2024-01-01,1.95670389,per month,"","","","",""
Residential Electric Vehicle,Conservation Improvement Program Adjustment,2024-01-01,-0.000389,per kwh,"","","","",""
Residential Electric Vehicle,Customer Charge,2024-01-01,6.0,per month,"","","","",""
Residential Electric Vehicle,Energy Charge - Summer Off-Peak,2024-01-01,0.05171,per kwh,"","",06/01-09/30,"[([1, 5], [21, 9]), ([6, 7], [0, 0])]",OFF_PEAK
Residential Electric Vehicle,Energy Charge - Summer On-Peak,2024-01-01,0.25879,per kwh,"","",06/01-09/30,"[([1, 5], [9, 21])]",ON_PEAK
Residential Electric Vehicle,Energy Charge - Winter Off-Peak,2024-01-01,0.05171,per kwh,"","",10/01-05/31,"[([1, 5], [21, 9]), ([6, 7], [0, 0])]",OFF_PEAK
Residential Electric Vehicle,Energy Charge - Winter On-Peak,2024-01-01,0.21408,per kwh,"","",10/01-05/31,"[([1, 5], [9, 21])]",ON_PEAK
Residential Electric Vehicle,Fuel Cost Charge,2024-01-01,0.02616334,per kwh,"","","","",""
Residential Electric Vehicle,Renewable Development Fund,2024-01-01,0.00121637,per kwh,"","","","",""
Residential Electric Vehicle,Renewable Energy Standard Adjustment,2024-01-01,2.41,per month,"","","","",""
Residential Electric Vehicle,Transmission Cost Recovery Charge,2024-01-01,0.00485492,per kwh,"","","","",""
