State,Utility,ResStock,Reported,weight Adjustment Factor,Only census?,Mismatch?
AL,Alabama Power Co,16560633.0,17365016.0,1.05,Y+N,Nope
AK,Alaska Electric Light & Power Co.,0.0,161849.0,0.0,Y,Mismatch too big
AK,Alaska Power and Telephone Co,0.0,27163.0,0.0,Y,Mismatch too big
AK,TDX North Slope Generating Co,0.0,0.0,0.0,Y,Mismatch too big
AZ,"UNS Electric, Inc",1105525.0,1009273.0,0.91,Y+½N,Nope
AZ,Ajo Improvement Co,0.0,5338.0,0.0,Y,Mismatch too big
AZ,Arizona Public Service Co,26052046.0,14947956.0,0.57,Y,Mismatch too big
AZ,Tucson Electric Power Co,3965532.5,3967416.0,1.0,Y,Nope
AZ,Morenci Water and Electric,0.0,20438.0,0.0,Y,Mismatch too big
AR,Entergy Arkansas LLC,6924479.5,7667932.0,1.11,Y+N,Nope
AR,Empire District Electric Co,0.0,52635.0,0.0,Y,Mismatch too big
AR,Oklahoma Gas & Electric Co,729863.06,711725.0,0.98,Y+½N,Nope
AR,Southwestern Electric Power Co,1179757.2,1132224.0,0.96,Y+½N,Nope
CA,Pacific Gas & Electric Co.,29215488.0,25637920.0,0.88,Y+½N,Nope
CA,PacifiCorp,318274.03,386710.0,1.22,Y+N,Nope
CA,Bear Valley Electric Service,0.0,87570.0,0.0,Y,Mismatch too big
CA,Southern California Edison Co,36742960.0,25723128.0,0.7,Y,Nope
CA,San Diego Gas & Electric Co,7027631.0,4861684.0,0.69,Y,Mismatch too big
CA,Liberty Utilities,298759.2,308222.0,1.03,Y,Nope
CO,"Black Hills Colorado Electric, LLC",567363.4,602501.0,1.06,Y+½N,Nope
CO,Public Service Co of Colorado,9099547.0,9458383.0,1.04,Y+N,Nope
CT,Connecticut Light & Power Co,8735767.0,9571442.0,1.1,Y+N,Nope
CT,Farmington River Power Company,0.0,0.0,0.0,Y,Mismatch too big
CT,United Illuminating Co,2342440.5,2041843.0,0.87,Y+½N,Nope
DE,Delmarva Power,2864622.8,3026597.0,1.06,Y+N,Nope
FL,Florida Power & Light Co,60941620.0,70005780.0,1.15,Y+N,Nope
FL,Tampa Electric Co,7982407.0,10307159.0,1.29,Y+N,Nope
FL,Florida Public Utilities Co,357007.7,300117.0,0.84,Y+N,Nope
FL,"Duke Energy Florida, LLC",19413196.0,21750264.0,1.12,Y+N,Nope
GA,Georgia Power Co,31540952.0,27622686.0,0.88,Y+N,Nope
HI,Hawaiian Electric Co Inc,0.0,1540523.0,0.0,Y,Mismatch too big
HI,Hawaii Electric Light Co Inc,0.0,425521.0,0.0,Y,Mismatch too big
HI,Maui Electric Co Ltd,0.0,376039.0,0.0,Y,Mismatch too big
ID,Avista Corp,1673262.9,1355765.0,0.81,Y+N,Nope
ID,PacifiCorp,849228.4,817961.0,0.96,Y+N,Nope
ID,Idaho Power Co,4886826.0,5712006.0,1.17,Y+N,Nope
IL,Commonwealth Edison Co,23083874.0,26022564.0,1.13,Y+½N,Nope
IL,Ameren Illinois Company,9992088.0,10617304.0,1.06,Y+½N,Nope
IL,MidAmerican Energy Co,692331.5,630884.0,0.91,Y+N,Nope
IL,Mt Carmel Public Utility Co,57518.76,44729.0,0.78,Y+N,Nope
