Area,Company,Item,2020,2021,2022,2023
 U.S. Total, Total of All Companies,Residential Volume,4674456169,4716658154,4964254841,4523327748
 U.S. Total, Total of All Companies,Commercial Volume,3162663893,3289075622,3510617337,3341424753
 U.S. Total, Total of All Companies,Industrial Volume,8212977100,8374672351,8529076266,8552170639
 U.S. Total, Total of All Companies,Electric Power Volume,11510407146,11341637439,12419827119,13164351662
 U.S. Total, Total of All Companies,Vehicle Fuel Volume,46875819,52334019,63609743,60950518
 U.S. Total, Total of All Companies,Other Volume,23339,48217,14275,16244
Alabama, Total of All Companies,Residential Volume,28178482,32225876,30420468,27402430
Alabama, Total of All Companies,Commercial Volume,22905919,25711053,25775681,24027759
Alabama, Total of All Companies,Industrial Volume,209124319,233071661,212942703,218463102
Alabama, Total of All Companies,Electric Power Volume,457068138,460073798,553368339,543715191
Alabama, Total of All Companies,Vehicle Fuel Volume,48160,60234,72159,76594
Alabama, Total of All Companies,Other Volume,,,0,
Alaska, Total of All Companies,Residential Volume,21049369,21537558,20200415,20702056
Alaska, Total of All Companies,Commercial Volume,16598361,16816861,16051420,16378367
Alaska, Total of All Companies,Industrial Volume,6796359,20934642,57798846,60882672
Alaska, Total of All Companies,Electric Power Volume,44890544,36770978,38493965,39175186
Arizona, Total of All Companies,Residential Volume,41514670,39828457,42164116,45065917
Arizona, Total of All Companies,Commercial Volume,31604891,33278934,35636041,36681410
Arizona, Total of All Companies,Industrial Volume,19078650,19941147,19489220,20801769
Arizona, Total of All Companies,Electric Power Volume,445555362,407128323,382214429,445590980
Arizona, Total of All Companies,Vehicle Fuel Volume,1924160,1952242,1990726,1728876
Arkansas, Total of All Companies,Residential Volume,30302018,33841231,31373199,28802647
Arkansas, Total of All Companies,Commercial Volume,52697142,57060888,55678506,53157713
Arkansas, Total of All Companies,Industrial Volume,101782789,104987706,105092895,107253836
Arkansas, Total of All Companies,Electric Power Volume,137647837,151510450,192237102,194647926
Arkansas, Total of All Companies,Vehicle Fuel Volume,60828,68947,74564,80637
California, Total of All Companies,Residential Volume,458498306,449310916,432635592,463189700
California, Total of All Companies,Commercial Volume,232642324,240018868,246623525,257493845
California, Total of All Companies,Industrial Volume,697168226,681619842,651304807,639983055
California, Total of All Companies,Electric Power Volume,528431863,546529396,549479035,543417257
California, Total of All Companies,Vehicle Fuel Volume,23182140,25225981,28243357,31064238
Colorado, Total of All Companies,Residential Volume,136585540,135320770,142365639,139151311
Colorado, Total of All Companies,Commercial Volume,57282277,59179890,61795470,62627923
Colorado, Total of All Companies,Industrial Volume,84130492,86701435,91392240,91017504
Colorado, Total of All Companies,Electric Power Volume,180615202,155621957,174364413,177833615
Colorado, Total of All Companies,Vehicle Fuel Volume,669197,760294,856504,621746
Connecticut, Total of All Companies,Residential Volume,48700533,49873430,50744574,46971847
Connecticut, Total of All Companies,Commercial Volume,52184929,53529415,55111816,54618793
