Data Year,Utility Number,Utility Name,Part,Service Type,Data Type,State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count
2023,213,Alaska Electric Light & Power Co.,A,Bundled,O,AK,Investor Owned,NA,"20,419.0","161,849","15,159"
2023,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"10,301.0","27,163","5,685"
2023,19277,TDX North Slope Generating Co,A,Bundled,O,AK,Investor Owned,NA,0.0,0,0
2023,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,761,434.0","17,365,015","1,323,950"
2023,814,Entergy Arkansas LLC,A,Bundled,O,AR,Investor Owned,MISO,"996,757.1","7,667,932","605,244"
2023,5860,Empire District Electric Co,A,Bundled,O,AR,Investor Owned,SWPP,"8,150.7","52,635","4,724"
2023,14063,Oklahoma Gas & Electric Co,A,Bundled,O,AR,Investor Owned,SWPP,"81,703.8","711,725","57,724"
2023,17698,Southwestern Electric Power Co,A,Bundled,O,AR,Investor Owned,SWPP,"129,726.4","1,132,224","106,868"
2023,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,625.0,"5,338",816
2023,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,AZPS,"2,289,196.4","14,947,956","1,228,022"
2023,12919,Morenci Water and Electric,A,Bundled,O,AZ,Investor Owned,WALC,"2,143.3","20,438","2,305"
2023,19728,"UNS Electric, Inc",A,Bundled,O,AZ,Investor Owned,TEPC,"137,698.4","1,009,273","93,838"
2023,24211,Tucson Electric Power Co,A,Bundled,O,AZ,Investor Owned,TEPC,"594,104.9","3,967,416","407,394"
2023,14328,Pacific Gas & Electric Co.,A,Bundled,O,CA,Investor Owned,CISO,"3,659,032.0","10,749,713","1,832,407"
2023,14328,Pacific Gas & Electric Co.,C,Delivery,O,CA,Investor Owned,CISO,"2,997,103.0","14,888,207","3,144,748"
2023,14354,PacifiCorp,A,Bundled,O,CA,Investor Owned,PACW,"65,588.3","386,710","36,271"
2023,16609,San Diego Gas & Electric Co,A,Bundled,O,CA,Investor Owned,CISO,"911,397.9","2,003,818","460,629"
2023,16609,San Diego Gas & Electric Co,C,Delivery,O,CA,Investor Owned,CISO,"772,613.6","2,857,866","889,590"
2023,17609,Southern California Edison Co,A,Bundled,O,CA,Investor Owned,CISO,"5,839,146.1","18,058,382","3,182,068"
2023,17609,Southern California Edison Co,C,Delivery,O,CA,Investor Owned,CISO,"1,219,540.0","7,664,747","1,374,978"
2023,17612,Bear Valley Electric Service,A,Bundled,O,CA,Investor Owned,CISO,"28,477.0","87,570","23,285"
2023,57483,Liberty Utilities,A,Bundled,O,CA,Investor Owned,CISO,"57,790.3","308,222","43,902"
2023,15466,Public Service Co of Colorado,A,Bundled,O,CO,Investor Owned,PSCO,"1,355,894.2","9,458,383","1,346,146"
2023,56146,"Black Hills Colorado Electric, LLC",A,Bundled,O,CO,Investor Owned,PSCO,"104,930.0","602,501","88,786"
2023,4176,Connecticut Light & Power Co,A,Bundled,O,CT,Investor Owned,ISNE,"2,298,512.8","7,267,019","933,332"
2023,4176,Connecticut Light & Power Co,C,Delivery,O,CT,Investor Owned,ISNE,"299,285.9","2,304,423","232,229"
2023,6207,Farmington River Power Company,B,Energy,O,CT,Investor Owned,ISNE,0.0,0,0
2023,19497,United Illuminating Co,A,Bundled,O,CT,Investor Owned,ISNE,"528,655.0","1,594,404","263,416"
2023,19497,United Illuminating Co,C,Delivery,O,CT,Investor Owned,ISNE,"66,452.2","447,439","47,097"
2023,15270,Potomac Electric Power Co,A,Bundled,O,DC,Investor Owned,PJM,"295,488.8","1,973,032","277,874"
2023,15270,Potomac Electric Power Co,C,Delivery,O,DC,Investor Owned,PJM,"22,256.5","395,747","35,108"
2023,5027,Delmarva Power,A,Bundled,O,DE,Investor Owned,PJM,"435,918.3","2,771,948","272,780"
2023,5027,Delmarva Power,C,Delivery,O,DE,Investor Owned,PJM,"17,567.8","254,649","26,356"
2023,6452,Florida Power & Light Co,A,Bundled,O,FL,Investor Owned,FPL,"10,510,075.0","70,005,780","5,147,906"
2023,6455,"Duke Energy Florida, LLC",A,Bundled,O,FL,Investor Owned,FPC,"3,926,139.1","21,750,264","1,753,585"
2023,6457,Florida Public Utilities Co,A,Bundled,O,FL,Investor Owned,JEA,"56,170.3","300,117","25,719"
2023,18454,Tampa Electric Co,A,Bundled,O,FL,Investor Owned,TEC,"1,710,867.7","10,307,159","742,575"
2023,7140,Georgia Power Co,A,Bundled,O,GA,Investor Owned,SOCO,"4,039,663.4","27,622,686","2,387,722"
2023,8287,Hawaii Electric Light Co Inc,A,Bundled,O,HI,Investor Owned,NA,"197,949.3","425,521","77,647"
2023,11843,Maui Electric Co Ltd,A,Bundled,O,HI,Investor Owned,NA,"164,578.7","376,039","62,877"
2023,19547,Hawaiian Electric Co Inc,A,Bundled,O,HI,Investor Owned,HECO,"665,887.0","1,540,523","275,654"
2023,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,"1,045.0","6,741",709
2023,9417,Interstate Power and Light Co,A,Bundled,O,IA,Investor Owned,MISO,"640,617.0","3,586,061","414,637"
2023,12341,MidAmerican Energy Co,A,Bundled,O,IA,Investor Owned,MISO,"667,762.1","6,071,702","624,956"
2023,9191,Idaho Power Co,A,Bundled,O,ID,Investor Owned,IPCO,"665,200.3","5,712,006","510,236"
2023,14354,PacifiCorp,A,Bundled,O,ID,Investor Owned,PACE,"90,145.0","817,961","72,621"
2023,20169,Avista Corp,A,Bundled,O,ID,Investor Owned,AVA,"137,949.0","1,355,765","126,548"
2023,4110,Commonwealth Edison Co,A,Bundled,O,IL,Investor Owned,PJM,"3,046,255.6","20,611,558","3,006,545"
2023,4110,Commonwealth Edison Co,C,Delivery,O,IL,Investor Owned,PJM,"376,756.5","5,411,007","725,914"
2023,12341,MidAmerican Energy Co,A,Bundled,O,IL,Investor Owned,MISO,"62,423.6","630,480","73,614"
2023,12341,MidAmerican Energy Co,C,Delivery,O,IL,Investor Owned,MISO,18.8,404,70
2023,13032,Mt Carmel Public Utility Co,A,Bundled,O,IL,Investor Owned,MISO,"8,373.0","44,729","4,330"
2023,56697,Ameren Illinois Company,A,Bundled,O,IL,Investor Owned,MISO,"1,031,640.0","6,052,859","614,162"
2023,56697,Ameren Illinois Company,C,Delivery,O,IL,Investor Owned,MISO,"338,594.5","4,564,445","445,868"
2023,9273,AES Indiana,A,Bundled,O,IN,Investor Owned,MISO,"660,558.8","4,801,479","462,848"
2023,9324,Indiana Michigan Power Co,A,Bundled,O,IN,Investor Owned,PJM,"654,789.8","4,070,840","418,915"
2023,13756,Northern Indiana Pub Serv Co,A,Bundled,O,IN,Investor Owned,MISO,"583,883.5","3,262,923","427,217"
2023,15470,"Duke Energy Indiana, LLC",A,Bundled,O,IN,Investor Owned,MISO,"1,232,273.0","8,610,821","781,956"
2023,17633,Southern Indiana Gas & Elec Co,A,Bundled,O,IN,Investor Owned,MISO,"230,263.7","1,335,877","132,490"
2023,5860,Empire District Electric Co,A,Bundled,O,KS,Investor Owned,SWPP,"13,886.6","104,321","8,291"
2023,10000,Evergy Metro,A,Bundled,O,KS,Investor Owned,SWPP,"367,371.4","2,857,073","242,173"
2023,10005,"Evergy Kansas South, Inc",A,Bundled,O,KS,Investor Owned,SWPP,"411,316.0","3,161,889","298,842"
2023,22500,"Evergy Kansas Central, Inc",A,Bundled,O,KS,Investor Owned,SWPP,"451,224.6","3,447,298","340,314"
2023,10171,Kentucky Utilities Co,A,Bundled,O,KY,Investor Owned,LGEE,"664,503.2","5,545,728","446,660"
2023,11249,Louisville Gas & Electric Co,A,Bundled,O,KY,Investor Owned,LGEE,"486,428.0","3,923,114","381,561"
