heating_type,building_type,area,income,climate_zone,vintage,insulation_level,count,bldg_ids,zip_codes,elec_weights,gas_weights
Electric HP,Large MF,0-1499,High Income,Cold,>2000,Average Insulation,1,343361,02360,252.30163873025225,126.15081936512613
Electric HP,Large MF,0-1499,High Income,Cold,>2000,Poor Insulation,1,136149,02360,252.30163873025225,126.15081936512613
Electric HP,Large MF,0-1499,Low Income,Cold,1960-2000,Poor Insulation,3,192940|268055|405405,02360|02360|02746,252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|252.30163873025225
Electric HP,Large MF,0-1499,Low Income,Cold,>2000,Poor Insulation,1,184556,02360,252.30163873025225,126.15081936512613
Electric HP,Large MF,0-1499,Moderate Income,Cold,1960-2000,Average Insulation,1,94711,02360,252.30163873025225,126.15081936512613
Electric HP,Large MF,0-1499,Moderate Income,Cold,<1960,Poor Insulation,1,132631,02360,252.30163873025225,126.15081936512613
Electric HP,Large MF,1500-2499,High Income,Cold,<1960,Poor Insulation,1,274442,02746,252.30163873025225,252.30163873025225
Electric HP,SF,0-1499,Moderate Income,Cold,1960-2000,Poor Insulation,6,84781|146468|389561|402950|412733|455695,02746|02746|02746|02360|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613
Electric HP,SF,0-1499,Moderate Income,Cold,<1960,Poor Insulation,1,221955,02746,252.30163873025225,252.30163873025225
Electric HP,SF,1500-2499,High Income,Cold,1960-2000,Average Insulation,1,171578,02360,252.30163873025225,126.15081936512613
Electric HP,SF,1500-2499,High Income,Cold,1960-2000,Poor Insulation,3,18719|146148|426197,02360|02746|02746,252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|252.30163873025225|252.30163873025225
Electric HP,SF,1500-2499,Moderate Income,Cold,<1960,Poor Insulation,1,479897,02746,252.30163873025225,252.30163873025225
Electric HP,SF,2500-3999,High Income,Cold,1960-2000,Average Insulation,1,464384,02746,252.30163873025225,252.30163873025225
Electric HP,Small MF,0-1499,High Income,Cold,1960-2000,Poor Insulation,1,185472,02746,252.30163873025225,252.30163873025225
Electric HP,Small MF,0-1499,Low Income,Cold,1960-2000,Poor Insulation,4,4829|173725|301661|512274,02360|02360|02360|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613|126.15081936512613|126.15081936512613
Electric HP,Small MF,0-1499,Low Income,Cold,<1960,Poor Insulation,4,169913|199888|377148|476280,02746|02746|02360|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225
Electric HP,Small MF,0-1499,Moderate Income,Cold,<1960,Poor Insulation,1,374435,02746,252.30163873025225,252.30163873025225
Electric HP,Small MF,1500-2499,Low Income,Cold,<1960,Average Insulation,1,163470,02746,252.30163873025225,252.30163873025225
Electric Resistance,Large MF,0-1499,High Income,Cold,1960-2000,Average Insulation,1,536294,02360,252.30163873025225,126.15081936512613
Electric Resistance,Large MF,0-1499,High Income,Cold,1960-2000,Poor Insulation,3,99903|113686|309215,02746|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|126.15081936512613
Electric Resistance,Large MF,0-1499,High Income,Cold,>2000,Average Insulation,2,510967|531955,02360|02360,252.30163873025225|252.30163873025225,126.15081936512613|126.15081936512613
Electric Resistance,Large MF,0-1499,High Income,Cold,>2000,Poor Insulation,1,128123,02746,252.30163873025225,252.30163873025225
Electric Resistance,Large MF,0-1499,Low Income,Cold,1960-2000,Average Insulation,1,74814,02746,252.30163873025225,252.30163873025225
Electric Resistance,Large MF,0-1499,Low Income,Cold,1960-2000,Good Insulation,1,269976,02746,252.30163873025225,252.30163873025225
Electric Resistance,Large MF,0-1499,Low Income,Cold,1960-2000,Poor Insulation,28,16947|25624|27050|41905|66641|86174|90844|115301|117473|141798|142866|171667|230435|236871|250486|280797|290045|304969|326123|330156|363746|413808|429908|432484|452264|477708|489515|520054,02746|02746|02746|02360|02746|02746|02746|02360|02746|02746|02746|02360|02360|02746|02360|02746|02360|02746|02746|02746|02360|02360|02360|02746|02360|02746|02746|02360,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|252.30163873025225|126.15081936512613|126.15081936512613|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225|252.30163873025225|126.15081936512613
Electric Resistance,Large MF,0-1499,Low Income,Cold,<1960,Poor Insulation,6,35579|92994|132090|184883|326007|362745,02746|02746|02360|02746|02360|02746,252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225|252.30163873025225,252.30163873025225|252.30163873025225|126.15081936512613|252.30163873025225|126.15081936512613|252.30163873025225
Electric Resistance,Large MF,0-1499,Low Income,Cold,>2000,Average Insulation,1,203679,02360,252.30163873025225,126.15081936512613
Electric Resistance,Large MF,0-1499,Low Income,Cold,>2000,Poor Insulation,1,194106,02360,252.30163873025225,126.15081936512613
Electric Resistance,Large MF,0-1499,Moderate Income,Cold,1960-2000,Average Insulation,1,115575,02360,252.30163873025225,126.15081936512613
